Nama Produk,Harga Produk,Penjual,Kota Toko,Banyaknya Terjual,Rating Produk
Kylafood Paket (3 Seblak Original 2 Batagor kuah) ,Rp97.200,,,3 rb+ terjual,4.9
 Kylafood Seblak karuhun,Rp11.880,,,4 rb+ terjual,4.8
Kylafood Seblak Mie Baso,Rp24.200,,,4 rb+ terjual,4.9
Kylafood Seblak Original,Rp19.800,kylafood,Bandung,10rb+ terjual,4.9
seblak instan jeletot jajanan hits bandung 1 porsi - tanpa sosis,Rp4.180,tokomakanankalimantan,Jakarta Barat,1rb+ terjual,4.8
"Seblak Rafael, Seblak Coet Instan Halal",Rp23.750,Brother Meat Shop,Depok,500+ terjual,4.9
"Kylafood Seblak Rempah Autentik 115gr, Seblak Instan Halal",Rp9.900,Brother Meat Shop,Depok,100+ terjual,5.0
Kerupuk Seblak Pedas Krupuk Pelangi Pedas Seblak 200gram,Rp14.725,toko bemo,Jakarta Timur,500+ terjual,4.9
"Seblak Rafael, Seblak Coet Instan Halal",Rp23.750,Brother Meat Shop,Depok,500+ terjual,4.9
SEBLAK INSTANT TERMURAH,Rp4.450,Pusat Cuankie & Cemilan Frozen,Jakarta Timur,10rb+ terjual,4.8
Muria Seblak Stik Cabe Merah Snack 60 gram,Rp5.015,,,250+ terjual,4.9
Seblak Instan Pedas Home Made,Rp3.500,the Dhecip,Tangerang Selatan,3rb+ terjual,4.9
Prabu Snack Kerupuk Seblak Snack 150 gram,Rp9.500,,,100+ terjual,4.9
SEBLAK INSTANT TERMURAH,Rp4.450,Pusat Cuankie & Cemilan Frozen,Jakarta Timur,10rb+ terjual,4.8
"Seblak Rafael, Seblak Coet Instan Halal",Rp23.750,Brother Meat Shop,Depok,500+ terjual,4.9
Seblak Instan Pedas Home Made,Rp3.500,the Dhecip,Tangerang Selatan,3rb+ terjual,4.9
Seblak Rafael/Seblak Coet Instan Halal,Rp26.600,Foodstocks,Jakarta Selatan,60+ terjual,5.0
